from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5812366;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814173;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814174;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814175;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814176;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814201;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814202;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814203;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814204;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814205;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814206;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814207;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814208;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814209;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814210;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814211;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814212;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814213;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814214;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814215;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814216;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814217;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814218;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814219;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814220;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814221;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814222;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814223;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814225;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814226;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814227;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814253;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814254;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814255;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814256;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814257;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814258;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814259;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814260;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814261;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814262;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814263;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814264;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814265;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814266;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814267;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5814268;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816065;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816068;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816070;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816071;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816072;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816073;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816074;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816075;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816099;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816101;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816102;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816103;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5816104;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
